,GAME_ID,GAME_DATE,HOME_SCORE,AWAY_SCORE,HOME_TEAM_ID,AWAY_TEAM_ID
234,0022000256,2021-01-24,113,116,1610612752,1610612757
235,0022000254,2021-01-24,115,129,1610612737,1610612749
236,0022000249,2021-01-24,107,102,1610612761,1610612754
237,0022000266,2021-01-25,108,130,1610612750,1610612744
238,0022000262,2021-01-25,103,119,1610612741,1610612738
239,0022000260,2021-01-25,98,85,1610612751,1610612748
240,0022000259,2021-01-25,117,108,1610612753,1610612766
241,0022000261,2021-01-25,108,115,1610612739,1610612747
242,0022000257,2021-01-25,119,104,1610612765,1610612755
243,0022000267,2021-01-25,122,125,1610612757,1610612760
244,0022000258,2021-01-25,129,114,1610612754,1610612761
245,0022000265,2021-01-25,117,113,1610612743,1610612742
246,0022000269,2021-01-26,88,107,1610612764,1610612745
247,0022000270,2021-01-26,94,108,1610612752,1610612762
248,0022000268,2021-01-26,108,99,1610612737,1610612746
249,0022000276,2021-01-27,106,107,1610612747,1610612755
250,0022000283,2021-01-27,111,123,1610612750,1610612744
251,0022000280,2021-01-27,106,110,1610612738,1610612759
252,0022000281,2021-01-27,102,97,1610612760,1610612756
253,0022000273,2021-01-27,107,121,1610612753,1610612758
254,0022000272,2021-01-27,107,122,1610612765,1610612739
255,0022000275,2021-01-27,109,82,1610612743,1610612748
256,0022000282,2021-01-27,104,116,1610612742,1610612762
257,0022000274,2021-01-27,132,128,1610612751,1610612737
258,0022000271,2021-01-27,106,116,1610612766,1610612754
259,0022000277,2021-01-27,108,115,1610612761,1610612749
260,0022000279,2021-01-27,124,106,1610612740,1610612764
261,0022000286,2021-01-28,93,114,1610612744,1610612756
262,0022000287,2021-01-28,104,101,1610612745,1610612757
263,0022000285,2021-01-28,109,105,1610612746,1610612748
264,0022000284,2021-01-28,107,92,1610612765,1610612747
265,0022000296,2021-01-29,119,109,1610612759,1610612743
266,0022000291,2021-01-29,81,102,1610612739,1610612752
267,0022000289,2021-01-29,116,90,1610612746,1610612753
268,0022000297,2021-01-29,101,120,1610612742,1610612762
269,0022000294,2021-01-29,94,118,1610612750,1610612755
270,0022000288,2021-01-29,105,108,1610612754,1610612766
271,0022000290,2021-01-29,116,100,1610612737,1610612764
272,0022000292,2021-01-29,126,124,1610612758,1610612761
