,Player_ID,Game_ID
0,1630173,0022001069
1,1630173,0022001062
2,1630173,0022001050
3,1630173,0022000986
4,1630173,0022000969
5,1630173,0022000960
6,1630173,0022000888
7,1630173,0022000871
8,1630173,0022000852
9,1630173,0022000838
10,1630173,0022000827
11,1630173,0022000814
12,1630173,0022000784
13,1630173,0022000773
14,1630173,0022000749
15,1630173,0022000722
16,1630173,0022000710
17,1630173,0022000686
18,1630173,0022000678
19,1630173,0022000664
20,1630173,0022000645
21,1630173,0022000632
22,1630173,0022000623
23,1630173,0022000596
24,1630173,0022000582
25,1630173,0022000571
26,1630173,0022000557
27,1630173,0022000538
28,1630173,0022000522
29,1630173,0022000492
30,1630173,0022000475
31,1630173,0022000463
32,1630173,0022000447
33,1630173,0022000443
34,1630173,0022000425
35,1630173,0022000410
36,1630173,0022000392
37,1630173,0022000376
38,1630173,0022000364
39,1630173,0022000347
40,1630173,0022000331
41,1630173,0022000314
42,1630173,0022000301
43,1630173,0022000285
44,1630173,0022000275
45,1630173,0022000260
46,1630173,0022000244
47,1630173,0022000234
48,1630173,0022000220
49,1630173,0022000206
50,1630173,0022000192
51,1630173,0022000174
52,1630173,0022000157
53,1630173,0022000136
54,1630173,0022000111
55,1630173,0022000096
56,1630173,0022000071
57,1630173,0022000058
58,1630173,0022000051
59,1630173,0022000005
60,1630173,0022000012
0,1630173,0022101226
1,1630173,0022101206
2,1630173,0022101197
3,1630173,0022101182
4,1630173,0022101172
5,1630173,0022101151
6,1630173,0022101141
7,1630173,0022101127
8,1630173,0022101109
9,1630173,0022101095
10,1630173,0022101076
11,1630173,0022101069
12,1630173,0022101051
13,1630173,0022101044
14,1630173,0022101028
15,1630173,0022101009
16,1630173,0022101003
17,1630173,0022100989
18,1630173,0022100962
19,1630173,0022100458
20,1630173,0022100942
21,1630173,0022100928
22,1630173,0022100726
23,1630173,0022100906
24,1630173,0022100896
25,1630173,0022100880
26,1630173,0022100863
27,1630173,0022100850
28,1630173,0022100834
29,1630173,0022100827
30,1630173,0022100810
31,1630173,0022100790
32,1630173,0022100430
33,1630173,0022100784
34,1630173,0022100767
35,1630173,0022100748
36,1630173,0022100472
37,1630173,0022100715
38,1630173,0022100702
39,1630173,0022100689
40,1630173,0022100675
41,1630173,0022100662
42,1630173,0022100641
43,1630173,0022100633
44,1630173,0022100613
45,1630173,0022100599
46,1630173,0022100584
47,1630173,0022100573
48,1630173,0022100563
49,1630173,0022100545
50,1630173,0022100534
51,1630173,0022100443
52,1630173,0022100351
53,1630173,0022100329
54,1630173,0022100315
55,1630173,0022100302
56,1630173,0022100284
57,1630173,0022100272
58,1630173,0022100252
59,1630173,0022100238
60,1630173,0022100171
61,1630173,0022100160
62,1630173,0022100139
63,1630173,0022100127
64,1630173,0022100112
65,1630173,0022100099
66,1630173,0022100081
67,1630173,0022100071
68,1630173,0022100058
69,1630173,0022100046
70,1630173,0022100029
71,1630173,0022100020
72,1630173,0022100006
0,1629121,0022000445
1,1629121,0022000402
2,1629121,0022000373
3,1629121,0022000357
4,1629121,0022000346
5,1629121,0022000329
6,1629121,0022000113
0,203500,0022000987
1,203500,0022000940
2,203500,0022000264
3,203500,0022000893
4,203500,0022000878
5,203500,0022000862
6,203500,0022000847
7,203500,0022000835
8,203500,0022000819
9,203500,0022000807
10,203500,0022000795
11,203500,0022000779
12,203500,0022000770
13,203500,0022000760
14,203500,0022000734
15,203500,0022000708
16,203500,0022000698
17,203500,0022000689
18,203500,0022000663
19,203500,0022000646
