,PERSON_ID,FIRST_NAME,LAST_NAME,HEIGHT,WEIGHT
0,1629597,Zylan,Cheatham,6-5,220
0,1629185,Chris,Chiozza,5-11,175
0,1627737,Marquese,Chriss,6-9,240
0,1631108,Max,Christie,6-5,190
0,1630528,Josh,Christopher,6-4,215
0,1629109,Gary,Clark,6-6,225
0,1629634,Brandon,Clarke,6-8,215
0,203903,Jordan,Clarkson,6-5,194
0,1629651,Nic,Claxton,6-11,215
0,1629599,Amir,Coffey,6-7,210
0,1628381,John,Collins,6-9,226
0,1628380,Zach,Collins,6-11,250
0,201954,Darren,Collison,6-0,160
0,201144,Mike,Conley,6-1,175
0,1626192,Pat,Connaughton,6-5,209
0,1626188,Quinn,Cook,6-1,180
0,1629076,Tyler,Cook,6-8,255
0,1630536,Sharife,Cooper,6-1,176
0,1627822,Petr,Cornelie,6-11,220
0,202326,DeMarcus,Cousins,6-10,270
0,203496,Robert,Covington,6-7,209
0,1628470,Torrey,Craig,6-7,221
0,203109,Jae,Crowder,6-6,235
0,1629633,Jarrett,Culver,6-6,195
0,1629600,Jarron,Cumberland,6-5,205
0,1630595,Cade,Cunningham,6-7,220
0,203552,Seth,Curry,6-1,185
0,201939,Stephen,Curry,6-2,185
0,1630700,Dyson,Daniels,6-7,199
0,1630268,Nate,Darling,6-6,200
0,203076,Anthony,Davis,6-10,253
0,202334,Ed,Davis,6-9,218
0,1631098,Johnny,Davis,6-4,195
0,1629056,Terence,Davis,6-4,201
0,1631120,JD,Davison,6-1,195
0,1630620,Darius,Days,6-7,245
0,1629602,Javin,DeLaurier,6-10,234
0,201942,DeMar,DeRozan,6-6,220
0,1630466,Gabriel,Deck,6-6,231
0,203473,Dewayne,Dedmon,6-10,245
0,1626155,Sam,Dekker,6-8,219
0,203521,Matthew,Dellavedova,6-3,200
0,1628978,Donte,DiVincenzo,6-4,203
0,1631217,Moussa,Diabate,6-10,210
0,1629603,Mamadi,Diakite,6-9,228
0,1627767,Cheick,Diallo,6-8,219
0,1628977,Hamidou,Diallo,6-5,202
0,203476,Gorgui,Dieng,6-10,248
0,1631172,Ousmane,Dieng,6-9,185
0,203915,Spencer,Dinwiddie,6-5,215
0,1629029,Luka,Doncic,6-7,230
0,1628416,Tyler,Dorsey,6-4,180
0,1629652,Luguentz,Dort,6-4,220
0,1630245,Ayo,Dosunmu,6-5,200
0,1628422,Damyean,Dotson,6-5,210
0,1629653,Devon,Dotson,6-1,185
0,1629635,Sekou,Doumbouya,6-9,230
0,1630288,Jeff,Dowtin,6-3,177
0,1628408,P.J.,Dozier,6-6,205
0,201609,Goran,Dragic,6-4,190
0,203083,Andre,Drummond,6-11,279
0,1630537,Chris,Duarte,6-5,190
0,201162,Jared,Dudley,6-6,237
0,1630561,David,Duke Jr.,6-4,204
0,1627739,Kris,Dunn,6-3,205
0,201142,Kevin,Durant,6-10,240
0,1631105,Jalen,Duren,6-11,250
0,1631106,Tari,Eason,6-8,215
0,1630693,Jaime,Echenique,6-10,258
0,1630162,Anthony,Edwards,6-4,225
0,1629035,Carsen,Edwards,5-11,200
0,1630556,Kessler,Edwards,6-7,203
0,1630306,Rob,Edwards,6-5,205
0,1629604,CJ,Elleby,6-6,200
0,1627740,Henry,Ellenson,6-10,240
0,201961,Wayne,Ellington,6-4,207
0,1631165,Keon,Ellis,6-3,175
0,203954,Joel,Embiid,7-0,280
0,203516,James,Ennis III,6-6,215
0,1629234,Drew,Eubanks,6-10,245
0,203957,Dante,Exum,6-5,214
0,1629605,Tacko,Fall,7-6,311
0,202324,Derrick,Favors,6-9,265
0,1626245,Cristiano,Felicio,6-11,270
0,1628390,Terrance,Ferguson,6-6,190
0,1628981,Bruno,Fernando,6-10,240
0,1627812,Yogi,Ferrell,6-0,178
0,1627827,Dorian,Finney-Smith,6-7,220
0,1630238,Malik,Fitts,6-5,230
0,1630201,Malachi,Flynn,6-1,175
0,1631323,Simone,Fontecchio,6-7,209
0,1627854,Bryn,Forbes,6-2,205
0,1630758,Aleem,Ford,6-8,220
0,1630235,Trent,Forrest,6-4,210
0,1630701,Michael,Foster Jr.,6-8,250
0,203095,Evan,Fournier,6-6,205
0,1628368,De'Aaron,Fox,6-3,185
0,1629606,Robert,Franks,6-7,225
0,204025,Tim,Frazier,6-0,170
0,1628982,Melvin,Frazier Jr.,6-5,215
0,202683,Enes,Freedom,6-10,250
0,1628365,Markelle,Fultz,6-4,209
0,1629117,Wenyen,Gabriel,6-9,205
0,1629655,Daniel,Gafford,6-10,234
0,201568,Danilo,Gallinari,6-10,236
0,204038,Langston,Galloway,6-1,200
0,1629636,Darius,Garland,6-1,192
0,1630585,Marcus,Garrett,6-5,205
0,1630586,Usman,Garuba,6-8,229
0,1630568,Luka,Garza,6-10,243
0,201188,Marc,Gasol,6-11,255
0,200752,Rudy,Gay,6-8,250
0,202331,Paul,George,6-8,220
0,201959,Taj,Gibson,6-9,232
0,1630581,Josh,Giddey,6-8,216
0,1628385,Harry,Giles III,6-11,240
0,1628983,Shai,Gilgeous-Alexander,6-6,195
0,1630264,Anthony,Gill,6-8,230
0,1631221,Collin,Gillespie,6-1,195
0,1630273,Freddie,Gillespie,6-9,245
0,203497,Rudy,Gobert,7-1,258
0,1629164,Brandon,Goodwin,6-0,180
0,1630692,Jordan,Goodwin,6-3,200
0,203932,Aaron,Gordon,6-8,235
0,201569,Eric,Gordon,6-3,215
0,1628984,Devonte',Graham,6-1,195
0,203924,Jerami,Grant,6-8,210
0,1629755,Hassani,Gravett,6-2,187
0,1631260,A.J.,Green,6-5,190
0,201980,Danny,Green,6-6,215
0,203110,Draymond,Green,6-6,230
0,203210,JaMychal,Green,6-9,227
0,1630224,Jalen,Green,6-4,186
0,1629750,Javonte,Green,6-5,205
0,201145,Jeff,Green,6-8,235
0,1630182,Josh,Green,6-7,200
0,1631100,AJ,Griffin,6-6,220
0,201933,Blake,Griffin,6-9,250
0,1629656,Quentin,Grimes,6-5,210
0,1629657,Kyle,Guy,6-1,167
0,1629060,Rui,Hachimura,6-8,230
0,1630204,Ashton,Hagans,6-3,190
0,1630169,Tyrese,Haliburton,6-5,185
0,1629743,Donta,Hall,6-10,230
0,1631160,Jordan,Hall,6-7,215
0,1630221,Josh,Hall,6-9,190
0,1629788,Tyler,Hall,6-5,209
0,1630181,R.J.,Hampton,6-4,175
0,203501,Tim,Hardaway Jr.,6-5,205
0,201935,James,Harden,6-5,220
0,1630702,Jaden,Hardy,6-3,198
0,203090,Maurice,Harkless,6-7,220
0,1629607,Jared,Harper,5-10,175
0,1631199,Ron,Harper Jr.,6-5,245
0,1626149,Montrezl,Harrell,6-7,240
0,203914,Gary,Harris,6-4,210
0,1630223,Jalen,Harris,6-5,195
0,203925,Joe,Harris,6-6,220
0,1630284,Kevon,Harris,6-6,216
0,202699,Tobias,Harris,6-7,226
0,1627885,Shaquille,Harrison,6-4,195
0,1628404,Josh,Hart,6-4,215
0,1628392,Isaiah,Hartenstein,7-0,250
0,2617,Udonis,Haslem,6-7,235
0,1630573,Sam,Hauser,6-7,217
0,1629637,Jaxson,Hayes,7-0,220
0,1630165,Killian,Hayes,6-5,195
0,202330,Gordon,Hayward,6-7,225
0,1630565,Aaron,Henry,6-5,210
0,1627823,Juancho,Hernangomez,6-9,214
0,1626195,Willy,Hernangomez,6-11,250
0,1629639,Tyler,Herro,6-5,195
0,1627741,Buddy,Hield,6-4,220
0,1629312,Haywood,Highsmith,6-5,220
0,201588,George,Hill,6-4,188
0,1630792,Malcolm,Hill,6-6,220
0,203524,Solomon,Hill,6-6,226
0,1630207,Nate,Hinton,6-5,210
0,1629658,Jaylen,Hoard,6-8,216
0,1628988,Aaron,Holiday,6-0,185
0,201950,Jrue,Holiday,6-5,205
0,203200,Justin,Holiday,6-6,180
0,1626178,Rondae,Hollis-Jefferson,6-6,217
0,1626158,Richaun,Holmes,6-8,235
0,1631096,Chet,Holmgren,7-1,195
0,1630258,Caleb,Homesley,6-6,205
0,203918,Rodney,Hood,6-8,208
0,203816,Scotty,Hopson,6-7,204
0,201143,Al,Horford,6-9,240
0,1629659,Talen,Horton-Tucker,6-4,234
0,1627863,Danuel,House Jr.,6-6,220
0,1631216,Caleb,Houstan,6-8,205
0,2730,Dwight,Howard,6-10,265
0,1630210,Markus,Howard,5-10,175
0,1631309,Trevor,Hudgins,6-0,180
0,1628989,Kevin,Huerter,6-7,198
0,1630643,Jay,Huff,7-1,240
0,1630190,Elijah,Hughes,6-5,215
0,1630624,Feron,Hunt,6-8,195
0,1629631,De'Andre,Hunter,6-8,221
0,1628990,Chandler,Hutchison,6-6,210
0,1630538,Bones,Hyland,6-2,169
0,201586,Serge,Ibaka,6-11,235
0,2738,Andre,Iguodala,6-6,215
0,101141,Ersan,Ilyasova,6-9,235
0,204060,Joe,Ingles,6-9,220
0,1627742,Brandon,Ingram,6-8,190
0,202681,Kyrie,Irving,6-2,195
0,1628371,Jonathan,Isaac,6-10,230
0,1631093,Jaden,Ivey,6-4,195
0,1628411,Wes,Iwundu,6-6,195
0,1628402,Frank,Jackson,6-3,205
0,1630543,Isaiah,Jackson,6-9,205
0,1628367,Josh,Jackson,6-8,207
0,1628382,Justin,Jackson,6-8,220
0,202704,Reggie,Jackson,6-2,208
0,1628991,Jaren,Jackson Jr.,6-10,242
0,1629713,Justin,James,6-7,190
0,2544,LeBron,James,6-9,250
0,1628455,Mike,James,6-1,175
0,1630610,DeJon,Jarreau,6-5,185
0,1629610,DaQuan,Jeffries,6-5,222
0,1629660,Ty,Jerome,6-5,195
0,1630198,Isaiah,Joe,6-3,165
0,1628993,Alize,Johnson,6-8,212
0,1629168,BJ,Johnson,6-6,200
0,1629661,Cameron,Johnson,6-8,210
0,1630525,David,Johnson,6-4,203
0,1630552,Jalen,Johnson,6-8,219
0,201949,James,Johnson,6-7,240
0,2207,Joe,Johnson,6-7,240
0,1629640,Keldon,Johnson,6-5,220
0,1630553,Keon,Johnson,6-3,185
0,1626169,Stanley,Johnson,6-6,242
0,204020,Tyler,Johnson,6-3,186
0,203999,Nikola,Jokic,6-11,284
0,1630637,Carlik,Jones,6-0,174
0,1627745,Damian,Jones,6-11,245
0,1630529,Herbert,Jones,6-7,206
0,1629203,Jemerrio,Jones,6-5,175
0,1630539,Kai,Jones,6-11,221
0,1630222,Mason,Jones,6-4,200
0,1630200,Tre,Jones,6-1,185
0,1626145,Tyus,Jones,6-2,196
0,1627884,Derrick,Jones Jr.,6-6,210
0,201599,DeAndre,Jordan,6-11,265
0,202709,Cory,Joseph,6-3,200
0,1631107,Nikola,Jovic,6-10,205
0,1630548,Johnny,Juzang,6-6,209
0,1629662,Mfiondu,Kabengele,6-10,250
0,1630686,Georgios,Kalaitzakis,6-7,192
0,1626163,Frank,Kaminsky,7-0,240
0,1631211,Trevor,Keels,6-4,221
0,1628379,Luke,Kennard,6-5,206
0,1631117,Walker,Kessler,7-0,245
0,1630296,Braxton,Key,6-8,225
0,1628994,George,King,6-6,220
0,1629663,Louis,King,6-7,205
0,1630557,Corey,Kispert,6-6,224
0,1628467,Maxi,Kleber,6-10,240
0,202688,Brandon,Knight,6-2,182
0,1630233,Nathan,Knight,6-8,253
0,1628995,Kevin,Knox II,6-7,215
0,1631132,Christian,Koloko,7-0,230
0,1629723,John,Konchar,6-5,210
0,1627788,Furkan,Korkmaz,6-7,202
0,1628436,Luke,Kornet,7-2,250
0,1630249,Vit,Krejci,6-8,195
0,1629083,Arnoldas,Kulboka,6-10,209
0,1630228,Jonathan,Kuminga,6-7,225
0,1629066,Rodions,Kurucs,6-9,228
0,1628398,Kyle,Kuzma,6-9,221
0,1631222,Jake,LaRavia,6-7,235
0,203897,Zach,LaVine,6-5,200
0,1630237,Anthony,Lamb,6-6,227
0,203087,Jeremy,Lamb,6-5,180
0,1629111,Jock,Landale,6-11,255
0,1629641,Romeo,Langford,6-5,216
0,1627774,Jake,Layman,6-8,209
0,1627747,Caris,LeVert,6-6,205
0,1628388,T.J.,Leaf,6-10,222
0,1629665,Jalen,Lecque,6-4,185
0,1627814,Damion,Lee,6-5,210
0,1630240,Saben,Lee,6-2,183
0,203458,Alex,Len,7-2,250
0,202695,Kawhi,Leonard,6-7,225
0,203086,Meyers,Leonard,7-0,260
0,1630575,Scottie,Lewis,6-5,185
0,1630184,Kira,Lewis Jr.,6-1,170
0,1630604,E.J.,Liddell,6-6,240
0,203081,Damian,Lillard,6-2,195
0,1629642,Nassir,Little,6-5,220
0,1630587,Isaiah,Livers,6-6,232
0,1631254,Kenneth,Lofton Jr.,6-6,275
0,1626172,Kevon,Looney,6-9,222
0,201572,Brook,Lopez,7-1,282
0,201577,Robin,Lopez,7-0,281
0,1629712,Didi,Louzada,6-5,188
0,201567,Kevin,Love,6-8,251
0,200768,Kyle,Lowry,6-0,196
0,1630994,Gabriel,Lundberg,6-4,203
0,1627789,Timothe,Luwawu-Cabarrot,6-7,215
0,1626168,Trey,Lyles,6-9,234
0,1630266,Will,Magnay,6-10,234
0,1627748,Thon,Maker,7-0,221
0,1630177,Theo,Maledon,6-5,175
0,1630572,Sandro,Mamukelashvili,6-10,240
0,1630211,Karim,Mane,6-3,190
0,1629611,Terance,Mann,6-5,215
0,1630544,Tre,Mann,6-3,178
0,1630185,Nico,Mannion,6-2,190
0,1626246,Boban,Marjanovic,7-4,290
0,1628374,Lauri,Markkanen,7-0,240
0,1630230,Naji,Marshall,6-7,220
0,1628997,Caleb,Martin,6-5,205
0,1628998,Cody,Martin,6-6,205
0,1629725,Jeremiah,Martin,6-2,185
0,1629103,Kelan,Martin,6-5,230
0,1631213,Tyrese,Martin,6-6,215
0,1630231,Kenyon,Martin Jr.,6-7,215
0,1628412,Frank,Mason III,5-11,190
0,1629726,Garrison,Mathews,6-6,215
0,1629751,Dakota,Mathias,6-4,200
0,1631097,Bennedict,Mathurin,6-5,210
0,202083,Wesley,Matthews,6-5,220
0,1630178,Tyrese,Maxey,6-2,200
0,1630219,Skylar,Mays,6-4,205
0,1630540,Miles,McBride,6-2,195
0,1627775,Patrick,McCaw,6-7,181
0,1630644,Mac,McClung,6-2,185
0,203468,CJ,McCollum,6-3,190
0,204456,T.J.,McConnell,6-1,190
0,1630183,Jaden,McDaniels,6-9,185
0,1629667,Jalen,McDaniels,6-9,205
0,203926,Doug,McDermott,6-6,225
0,1630253,Sean,McDermott,6-6,195
0,201580,JaVale,McGee,7-0,270
0,1631121,Bryce,McGowens,6-6,175
0,1630787,Cameron,McGriff,6-7,220
0,203585,Rodney,McGruder,6-4,205
0,1628035,Alfonzo,McKinnie,6-7,215
0,1630605,JaQuori,McLaughlin,6-4,190
0,1629162,Jordan,McLaughlin,6-0,185
0,203463,Ben,McLemore,6-3,195
0,1629740,Nicolo,Melli,6-9,236
0,1629001,De'Anthony,Melton,6-2,200
0,1630241,Sam,Merrill,6-4,205
0,1629002,Chimezie,Metu,6-9,225
0,203114,Khris,Middleton,6-7,222
0,101139,CJ,Miles,6-6,220
0,203121,Darius,Miller,6-6,225
0,201988,Patty,Mills,6-0,180
0,200794,Paul,Millsap,6-7,257
0,1629003,Shake,Milton,6-5,205
0,1631169,Josh,Minott,6-8,205
0,1630558,Davion,Mitchell,6-0,202
0,1628378,Donovan,Mitchell,6-1,215
0,1630596,Evan,Mobley,6-11,215
0,1630600,Isaiah,Mobley,6-8,238
0,1629690,Adam,Mokoka,6-4,190
0,1631320,Chima,Moneke,6-5,223
0,1628370,Malik,Monk,6-3,200
0,202328,Greg,Monroe,6-10,250
0,1630541,Moses,Moody,6-5,211
0,1629875,Xavier,Moon,6-2,165
0,1629760,Matt,Mooney,6-2,199
0,202734,E'Twaun,Moore,6-3,191
0,1631111,Wendell,Moore Jr.,6-5,215
0,1629630,Ja,Morant,6-2,174
0,1629752,Juwan,Morgan,6-7,232
0,1628537,Jaylen,Morris,6-5,185
0,202693,Markieff,Morris,6-9,245
0,1628420,Monte,Morris,6-2,183
0,202694,Marcus,Morris Sr.,6-8,218
0,1626144,Emmanuel,Mudiay,6-3,200
0,1628539,Mychal,Mulder,6-3,195
0,1630278,Ade,Murkey,6-5,200
0,1630530,Trey,Murphy III,6-8,206
0,1627749,Dejounte,Murray,6-5,180
0,1627750,Jamal,Murray,6-4,215
0,1631099,Keegan,Murray,6-8,225
0,203488,Mike,Muscala,6-11,240
0,1629004,Svi,Mykhailiuk,6-7,205
0,1627846,Abdel,Nader,6-5,225
0,1626204,Larry,Nance Jr.,6-8,245
0,1629614,Andrew,Nembhard,6-3,191
0,1630612,RJ,Nembhard Jr.,6-4,200
0,1630174,Aaron,Nesmith,6-5,215
0,203526,Raul,Neto,6-2,180
0,1629005,Malik,Newman,6-3,190
0,1627777,Georges,Niang,6-7,230
0,1630227,Daishen,Nix,6-4,226
0,1630192,Zeke,Nnaji,6-9,240
0,203457,Nerlens,Noel,6-10,220
0,1629669,Jaylen,Nowell,6-4,201
0,1628373,Frank,Ntilikina,6-4,200
0,1629134,Kendrick,Nunn,6-3,190
0,203263,James,Nunnally,6-7,205
0,203994,Jusuf,Nurkic,7-0,290
0,1628021,David,Nwaba,6-5,219
0,1629670,Jordan,Nwora,6-9,225
0,1626220,Royce,O'Neale,6-6,226
0,1628400,Semi,Ojeleye,6-6,240
0,1626143,Jahlil,Okafor,6-10,270
0,1629643,Chuma,Okeke,6-8,229
0,1629006,Josh,Okogie,6-4,213
0,1630168,Onyeka,Okongwu,6-9,240
0,1630171,Isaac,Okoro,6-5,225
0,1629644,KZ,Okpala,6-8,215
0,203506,Victor,Oladipo,6-3,213
0,1628419,Cameron,Oliver,6-8,239
0,203482,Kelly,Olynyk,6-11,240
0,1630647,Eugene,Omoruyi,6-6,235
0,1629671,Miye,Oni,6-5,206
0,1626224,Cedi,Osman,6-7,230
0,1630187,Daniel,Oturu,6-8,240
0,1626162,Kelly,Oubre Jr.,6-6,203
0,1629873,Jaysean,Paige,6-2,200
0,1629309,Trayvon,Palmer,6-6,200
0,1630698,Kevin,Pangos,6-1,179
0,203953,Jabari,Parker,6-7,245
0,1629672,Eric,Paschall,6-6,255
0,1628394,Anzejs,Pasecniks,7-1,229
0,202335,Patrick,Patterson,6-8,235
0,1628383,Justin,Patton,6-11,241
0,101108,Chris,Paul,6-0,175
0,1626166,Cameron,Payne,6-1,183
0,203901,Elfrid,Payton,6-3,195
0,1627780,Gary,Payton II,6-2,195
0,203658,Norvel,Pelle,6-10,231
0,1629617,Reggie,Perry,6-8,250
0,1630691,Jamorko,Pickett,6-9,206
0,1629033,Theo,Pinson,6-7,212
0,1630590,Scotty,Pippen Jr.,6-1,170
0,203486,Mason,Plumlee,7-0,254
0,1627751,Jakob,Poeltl,7-1,245
0,1629738,Vincent,Poirier,7-0,235
0,1630197,Aleksej,Pokusevski,7-0,210
0,1630582,Yves,Pons,6-5,206
0,1629673,Jordan,Poole,6-4,194
0,1629007,Jontay,Porter,6-11,240
0,1629645,Kevin,Porter Jr.,6-4,203
0,1629008,Michael,Porter Jr.,6-10,218
0,203490,Otto,Porter Jr.,6-8,198
0,1626171,Bobby,Portis,6-11,250
0,204001,Kristaps,Porzingis,7-3,240
0,1630695,Micah,Potter,6-8,248
0,203939,Dwight,Powell,6-10,240
0,1629619,Myles,Powell,6-2,195
0,1626181,Norman,Powell,6-4,215
0,1630554,Jason,Preston,6-3,181
0,1630563,Joshua,Primo,6-6,189
0,1627752,Taurean,Prince,6-6,218
0,1630202,Payton,Pritchard,6-1,195
0,1630243,Trevelin,Queen,6-6,190
0,1629674,Neemias,Queta,7-0,248
0,1630193,Immanuel,Quickley,6-2,190
0,1630186,Jahmi'us,Ramsey,6-3,190
0,1626184,Chasson,Randle,6-2,185
0,203944,Julius,Randle,6-8,250
0,1630559,Austin,Reaves,6-5,197
0,1629629,Cam,Reddish,6-7,217
0,200755,JJ,Redick,6-3,200
0,1628432,Davon,Reed,6-5,206
0,1630194,Paul,Reed,6-9,210
0,1629675,Naz,Reid,6-9,264
0,1629244,Cam,Reynolds,6-7,225
0,1630208,Nick,Richards,7-0,245
0,1626196,Josh,Richardson,6-6,200
0,1630203,Grant,Riller,6-2,190
0,203085,Austin,Rivers,6-4,200
0,203460,Andre,Roberson,6-7,210
0,1629130,Duncan,Robinson,6-7,215
0,1629010,Jerome,Robinson,6-4,190
0,1629620,Justin,Robinson,6-1,195
0,1629011,Mitchell,Robinson,7-0,240
0,203922,Glenn,Robinson III,6-6,222
0,1630526,Jeremiah,Robinson-Earl,6-8,240
0,1629676,Isaiah,Roby,6-8,230
0,1631223,David,Roddy,6-4,255
0,1631157,Ryan,Rollins,6-3,180
0,200765,Rajon,Rondo,6-1,180
0,201565,Derrick,Rose,6-3,200
0,203082,Terrence,Ross,6-7,206
0,1626179,Terry,Rozier,6-1,190
0,201937,Ricky,Rubio,6-2,190
0,1626156,D'Angelo,Russell,6-4,193
0,1630346,Matt,Ryan,6-6,215
0,1627734,Domantas,Sabonis,7-1,240
0,1629677,Luka,Samanic,6-10,227
0,203960,JaKarr,Sampson,6-7,214
0,203967,Dario,Saric,6-10,225
0,1630846,Olivier,Sarr,6-11,240
0,203107,Tomas,Satoransky,6-7,210
0,1630648,Jordan,Schakel,6-6,200
0,1629678,Admiral,Schofield,6-5,241
0,203471,Dennis,Schroder,6-1,172
0,203118,Mike,Scott,6-7,237
0,1630286,Trevon,Scott,6-8,225
0,1630206,Jay,Scrubb,6-5,220
0,1631220,Dereon,Seabron,6-5,180
0,1627782,Wayne,Selden,6-4,232
0,1630578,Alperen,Sengun,6-11,243
0,1629012,Collin,Sexton,6-2,190
0,1629013,Landry,Shamet,6-4,190
0,1630549,Day'Ron,Sharpe,6-9,265
0,1631101,Shaedon,Sharpe,6-5,200
0,202697,Iman,Shumpert,6-5,212
0,1627783,Pascal,Siakam,6-8,230
0,1629735,Chris,Silva,6-8,234
0,1627732,Ben,Simmons,6-10,240
0,1630250,Marko,Simonovic,7-0,220
0,1629014,Anfernee,Simons,6-3,181
0,1630285,Zavier,Simpson,6-0,190
0,1630579,Jericho,Sims,6-10,250
